Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Debito,27/07/2020,Dividendo - Transferido,CYRE3 - CYRELA BRAZIL REALTY S/A EMPREENDIMENTOS E PARTICIPACOES,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,26 "," R$0,77 "
Credito,24/07/2020,Rendimento - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30, - , - 
Debito,24/07/2020,Rendimento - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30, - , - 
Credito,24/07/2020,Dividendo - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30, - ," R$0,01 "
Debito,24/07/2020,Dividendo - Transferido,PETR4 - PETROLEO BRASILEIRO S/A PETROBRAS,NU INVEST CORRETORA DE VALORES S.A.,30, - ," R$0,01 "
Credito,16/07/2020,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,93 "," R$0,92 "
Credito,15/07/2020,Direito de Subscrição,IRBR1 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,1, - , - 
Credito,15/07/2020,Transferência,IRBR1 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,1, - , - 
Debito,15/07/2020,Transferência,IRBR1 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,1, - , - 
Credito,10/07/2020,Direito de Subscrição,IRDM12 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,0, - , - 
Credito,03/07/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,03/07/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,02/07/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,02/07/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/07/2020,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/07/2020,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,30/06/2020,Juros Sobre Capital Próprio - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,04 "," R$0,10 "
Debito,30/06/2020,Juros Sobre Capital Próprio - Transferido,WEGE3 - WEG S.A.,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,04 "," R$0,10 "
Credito,26/06/2020,Juros Sobre Capital Próprio,SANB4 - BANCO SANTANDER (BRASIL) S.A.,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,13 "," R$0,43 "
Credito,25/06/2020,Juros Sobre Capital Próprio - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,07 "," R$0,24 "
Debito,25/06/2020,Juros Sobre Capital Próprio - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,07 "," R$0,24 "
Credito,17/06/2020,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,77 "," R$0,76 "
Credito,12/06/2020,Leilão de Fração,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,0," R$19,79 "," R$7,91 "
Credito,02/06/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,02/06/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/06/2020,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/06/2020,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,20/05/2020,Fração em Ativos,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,0, - , - 
Credito,19/05/2020,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,70 "," R$0,70 "
Credito,08/05/2020,Juros Sobre Capital Próprio,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,2," R$0,08 "," R$0,13 "
Credito,08/05/2020,Dividendo,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,07 "
Credito,06/05/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,06/05/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,05/05/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Debito,05/05/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,04/05/2020,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,04/05/2020,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,04/05/2020,Dividendo - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,07 "
Debito,04/05/2020,Dividendo - Transferido,LREN3 - LOJAS RENNER S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,07 "
Credito,17/04/2020,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,70 "," R$0,70 "
Debito,15/04/2020,Fração em Ativos,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,"0,4", - , - 
Credito,15/04/2020,Fração em Ativos,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,"0,4", - , - 
Credito,15/04/2020,Bonificação em Ativos,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,"0,4", - , - 
Credito,03/04/2020,Juros Sobre Capital Próprio - Transferido,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
